,lap,timestamp,heart_rate,cadence,position_lat,position_long,distance,enhanced_altitude,enhanced_speed,calories,power,temperature,fractional_cadence
0,1,2021-08-28 21:28:52+00:00,66,0,-442729667,2087983542,0.86,275.20000000000005,0.0,,,25,0.0
1,1,2021-08-28 21:28:53+00:00,66,0,-442729767,2087983723,2.39,275.20000000000005,1.446,,,25,0.0
2,1,2021-08-28 21:28:54+00:00,64,0,-442729867,2087983968,4.24,275.20000000000005,1.596,,,25,0.0
3,1,2021-08-28 21:28:55+00:00,64,0,-442730019,2087984149,6.16,275.20000000000005,1.661,,,25,0.0
4,1,2021-08-28 21:28:56+00:00,64,0,-442730179,2087984303,8.04,275.6,1.698,,,25,0.0
5,1,2021-08-28 21:28:57+00:00,64,0,-442730323,2087984435,9.7,275.79999999999995,1.726,,,25,0.0
6,1,2021-08-28 21:28:58+00:00,64,0,-442730488,2087984651,11.9,276.0,1.745,,,17,0.0
7,1,2021-08-28 21:28:59+00:00,64,0,-442730669,2087984842,14.08,276.20000000000005,1.782,,,17,0.0
8,1,2021-08-28 21:29:00+00:00,65,40,-442730847,2087984990,16.04,276.20000000000005,1.782,,,17,0.5
9,1,2021-08-28 21:29:01+00:00,66,86,-442731067,2087985114,18.26,276.4,1.857,,,17,0.0
10,1,2021-08-28 21:29:02+00:00,66,88,-442731227,2087985279,20.15,276.4,1.913,,,17,0.5
11,1,2021-08-28 21:29:03+00:00,67,88,-442731356,2087985487,22.08,276.6,2.09,,,17,0.5
12,1,2021-08-28 21:29:04+00:00,69,89,-442731484,2087985700,24.03,277.0,2.183,,,17,0.0
13,1,2021-08-28 21:29:05+00:00,70,89,-442731658,2087985893,26.17,277.4,2.305,,,17,0.0
14,1,2021-08-28 21:29:06+00:00,72,89,-442731844,2087986042,28.23,277.6,2.351,,,17,0.5
15,1,2021-08-28 21:29:07+00:00,73,89,-442732090,2087986206,30.82,277.79999999999995,2.379,,,17,0.5
16,1,2021-08-28 21:29:08+00:00,74,89,-442732335,2087986370,33.4,278.0,2.407,,,17,0.5
17,1,2021-08-28 21:29:09+00:00,74,89,-442732575,2087986552,36.01,278.20000000000005,2.473,,,17,0.5
18,1,2021-08-28 21:29:10+00:00,74,89,-442732796,2087986746,38.51,278.20000000000005,2.529,,,17,0.5
19,1,2021-08-28 21:29:11+00:00,77,89,-442733015,2087986985,41.17,278.6,2.557,,,17,0.5
20,1,2021-08-28 21:29:12+00:00,80,89,-442733208,2087987235,43.76,278.6,2.557,,,17,0.5
21,1,2021-08-28 21:29:13+00:00,82,90,-442733348,2087987507,46.16,278.79999999999995,2.566,,,17,0.5
22,1,2021-08-28 21:29:14+00:00,84,90,-442733497,2087987772,48.57,278.79999999999995,2.566,,,17,0.5
23,1,2021-08-28 21:29:15+00:00,87,90,-442733675,2087987994,50.91,279.0,2.566,,,17,0.5
24,1,2021-08-28 21:29:16+00:00,89,90,-442733828,2087988191,52.95,279.0,2.566,,,17,0.5
25,1,2021-08-28 21:29:17+00:00,91,89,-442733985,2087988354,54.84,279.20000000000005,2.557,,,17,0.5
26,1,2021-08-28 21:29:18+00:00,93,89,-442734154,2087988547,56.95,279.4,2.547,,,17,0.0
27,1,2021-08-28 21:29:19+00:00,97,88,-442734284,2087988775,59.04,279.6,2.519,,,17,0.5
28,1,2021-08-28 21:29:20+00:00,100,88,-442734392,2087989075,61.49,279.79999999999995,2.51,,,17,0.5
29,1,2021-08-28 21:29:21+00:00,103,88,-442734511,2087989323,63.63,280.0,2.501,,,17,0.5
30,1,2021-08-28 21:29:22+00:00,104,88,-442734685,2087989534,65.88,280.4,2.501,,,17,0.5
31,1,2021-08-28 21:29:23+00:00,106,88,-442734832,2087989716,67.81,280.79999999999995,2.501,,,17,0.0
32,1,2021-08-28 21:29:24+00:00,106,88,-442735005,2087989893,69.88,281.0,2.491,,,17,0.5
33,1,2021-08-28 21:29:25+00:00,107,88,-442735129,2087990094,71.75,281.4,2.491,,,17,0.5
34,1,2021-08-28 21:29:26+00:00,107,88,-442735280,2087990325,73.97,281.6,2.463,,,17,0.5
35,1,2021-08-28 21:29:27+00:00,108,88,-442735432,2087990520,76.0,281.79999999999995,2.445,,,17,0.5
36,1,2021-08-28 21:29:28+00:00,109,88,-442735606,2087990726,78.23,281.79999999999995,2.426,,,17,0.5
37,1,2021-08-28 21:29:29+00:00,109,87,-442735786,2087990926,80.47,282.0,2.407,,,17,0.5
38,1,2021-08-28 21:29:30+00:00,109,87,-442735956,2087991114,82.58,282.20000000000005,2.389,,,17,0.5
39,1,2021-08-28 21:29:31+00:00,109,87,-442736128,2087991288,84.63,282.4,2.37,,,17,0.5
40,1,2021-08-28 21:29:33+00:00,109,87,-442736304,2087991446,86.65,282.4,2.351,,,17,0.5
41,1,2021-08-28 21:29:34+00:00,110,87,-442736476,2087991624,88.73,282.79999999999995,2.333,,,17,0.5
42,1,2021-08-28 21:29:35+00:00,110,88,-442736626,2087991774,90.51,283.0,2.323,,,17,0.0
43,1,2021-08-28 21:29:36+00:00,110,88,-442736830,2087992019,93.13,283.4,2.314,,,17,0.0
44,1,2021-08-28 21:29:37+00:00,111,86,-442736987,2087992201,95.14,283.6,2.305,,,17,0.5
45,1,2021-08-28 21:29:38+00:00,111,86,-442737137,2087992312,96.75,283.79999999999995,2.295,,,17,0.5
46,1,2021-08-28 21:29:39+00:00,112,86,-442737337,2087992519,99.16,284.0,2.277,,,17,0.5
47,1,2021-08-28 21:29:40+00:00,112,86,-442737520,2087992696,101.31,284.20000000000005,2.267,,,17,0.5
48,1,2021-08-28 21:29:41+00:00,113,86,-442737715,2087992852,103.46,284.4,2.258,,,17,0.5
49,1,2021-08-28 21:29:42+00:00,113,86,-442737903,2087993007,105.55,284.6,2.249,,,17,0.5
50,1,2021-08-28 21:29:43+00:00,114,86,-442738113,2087993113,107.65,284.6,2.239,,,17,0.5
51,1,2021-08-28 21:29:44+00:00,114,86,-442738263,2087993170,109.11,284.6,2.239,,,17,0.5
52,1,2021-08-28 21:29:45+00:00,114,87,-442738483,2087993212,111.17,285.0,2.23,,,17,0.5
53,1,2021-08-28 21:29:46+00:00,115,87,-442738741,2087993241,113.59,285.20000000000005,2.23,,,17,0.5
54,1,2021-08-28 21:29:47+00:00,115,87,-442738969,2087993281,115.73,285.6,2.221,,,17,0.5
55,1,2021-08-28 21:29:48+00:00,115,87,-442739228,2087993283,118.14,286.0,2.221,,,17,0.5
56,1,2021-08-28 21:29:49+00:00,116,86,-442739420,2087993278,119.93,286.4,2.211,,,17,0.5
57,1,2021-08-28 21:29:50+00:00,116,86,-442739661,2087993248,122.18,286.6,2.211,,,17,0.5
58,1,2021-08-28 21:29:51+00:00,117,86,-442739937,2087993202,124.76,286.79999999999995,2.202,,,17,0.5
59,1,2021-08-28 21:29:52+00:00,118,86,-442740151,2087993154,126.78,287.0,2.202,,,17,0.5
60,1,2021-08-28 21:29:53+00:00,118,85,-442740350,2087993085,128.68,287.4,2.193,,,17,0.5
61,1,2021-08-28 21:29:54+00:00,118,85,-442740486,2087993024,129.96,287.6,2.183,,,17,0.5
62,1,2021-08-28 21:29:55+00:00,119,85,-442740625,2087992929,131.41,287.79999999999995,2.174,,,17,0.5
63,1,2021-08-28 21:29:56+00:00,119,85,-442740745,2087992775,132.98,288.20000000000005,2.155,,,17,0.5
64,1,2021-08-28 21:29:57+00:00,120,85,-442740786,2087992646,134.02,288.20000000000005,2.146,,,17,0.5
65,1,2021-08-28 21:29:58+00:00,121,85,-442740801,2087992558,134.68,288.6,2.127,,,17,0.5
66,1,2021-08-28 21:29:59+00:00,121,85,-442740825,2087992499,135.17,288.79999999999995,2.071,,,17,0.5
67,1,2021-08-28 21:30:00+00:00,122,85,-442740884,2087992404,136.06,289.0,1.997,,,17,0.5
68,1,2021-08-28 21:30:01+00:00,121,85,-442740980,2087992327,137.12,289.0,1.894,,,17,0.5
69,1,2021-08-28 21:30:02+00:00,121,0,-442741157,2087992237,138.89,289.20000000000005,1.801,,,17,0.0
70,1,2021-08-28 21:30:03+00:00,121,0,-442741356,2087992161,140.84,289.20000000000005,1.801,,,17,0.0
71,1,2021-08-28 21:30:04+00:00,121,0,-442741540,2087992063,142.68,289.6,1.745,,,17,0.0
72,1,2021-08-28 21:30:05+00:00,121,0,-442741674,2087991960,144.12,289.79999999999995,1.68,,,17,0.0
