,lap,timestamp,heart_rate,cadence,position_lat,position_long,distance,enhanced_altitude,enhanced_speed,calories,power,temperature,fractional_cadence
0,1,2021-03-31 22:01:57+00:00,75,0,-442728666,2087984033,0.0,275.20000000000005,0.0,,,21,0.0
1,1,2021-03-31 22:01:58+00:00,76,0,-442728777,2087984080,0.95,275.20000000000005,0.0,,,21,0.0
2,1,2021-03-31 22:01:59+00:00,76,0,-442728891,2087984168,2.13,275.20000000000005,0.0,,,21,0.0
3,1,2021-03-31 22:02:00+00:00,75,0,-442729059,2087984328,4.02,275.20000000000005,0.0,,,21,0.0
4,1,2021-03-31 22:02:01+00:00,74,0,-442729212,2087984485,5.84,275.20000000000005,0.0,,,21,0.0
5,1,2021-03-31 22:02:02+00:00,74,0,-442729435,2087984587,8.05,275.20000000000005,0.0,,,21,0.0
6,1,2021-03-31 22:02:03+00:00,74,0,-442729686,2087984720,10.54,276.0,0.0,,,21,0.0
7,1,2021-03-31 22:02:04+00:00,73,91,-442729954,2087984913,13.4,276.20000000000005,0.252,,,21,0.5
8,1,2021-03-31 22:02:05+00:00,73,91,-442730248,2087985136,16.58,276.6,1.568,,,21,0.5
9,1,2021-03-31 22:02:06+00:00,73,91,-442730566,2087985295,19.77,276.79999999999995,2.398,,,23,0.5
10,1,2021-03-31 22:02:07+00:00,72,90,-442730849,2087985476,22.73,276.79999999999995,2.613,,,23,0.0
11,1,2021-03-31 22:02:08+00:00,72,90,-442731128,2087985623,25.51,277.0,2.697,,,23,0.0
12,1,2021-03-31 22:02:09+00:00,75,90,-442731384,2087985770,28.13,277.0,2.697,,,23,0.0
13,1,2021-03-31 22:02:10+00:00,77,90,-442731661,2087985928,30.96,277.0,2.641,,,23,0.0
14,1,2021-03-31 22:02:11+00:00,79,91,-442731903,2087986074,33.46,278.0,2.641,,,23,0.5
15,1,2021-03-31 22:02:12+00:00,81,91,-442732161,2087986216,36.06,278.0,2.641,,,23,0.5
16,1,2021-03-31 22:02:13+00:00,84,91,-442732413,2087986368,38.65,278.0,2.641,,,23,0.0
17,1,2021-03-31 22:02:14+00:00,86,90,-442732669,2087986579,41.5,278.20000000000005,2.603,,,23,0.5
18,1,2021-03-31 22:02:15+00:00,88,90,-442732893,2087986872,44.51,278.79999999999995,2.594,,,23,0.5
19,1,2021-03-31 22:02:16+00:00,90,89,-442733126,2087987185,47.69,279.0,2.585,,,23,0.0
20,1,2021-03-31 22:02:17+00:00,92,89,-442733342,2087987476,50.65,279.0,2.575,,,23,0.0
21,1,2021-03-31 22:02:18+00:00,95,89,-442733573,2087987773,53.74,279.20000000000005,2.575,,,23,0.0
22,1,2021-03-31 22:02:19+00:00,97,90,-442733762,2087988040,56.38,279.20000000000005,2.575,,,23,0.0
23,1,2021-03-31 22:02:20+00:00,99,91,-442733965,2087988313,59.15,279.20000000000005,2.566,,,23,0.0
24,1,2021-03-31 22:02:21+00:00,101,91,-442734138,2087988607,61.87,279.6,2.566,,,23,0.0
25,1,2021-03-31 22:02:22+00:00,102,90,-442734315,2087988920,64.72,279.79999999999995,2.566,,,23,0.5
26,1,2021-03-31 22:02:23+00:00,104,90,-442734483,2087989226,67.49,279.79999999999995,2.575,,,23,0.5
27,1,2021-03-31 22:02:24+00:00,106,90,-442734662,2087989497,70.1,280.20000000000005,2.575,,,23,0.5
28,1,2021-03-31 22:02:25+00:00,110,90,-442734868,2087989761,72.84,280.20000000000005,2.585,,,23,0.5
29,1,2021-03-31 22:02:26+00:00,112,90,-442735056,2087990041,75.57,280.20000000000005,2.585,,,23,0.5
30,1,2021-03-31 22:02:27+00:00,115,90,-442735238,2087990328,78.27,280.20000000000005,2.585,,,23,0.5
31,1,2021-03-31 22:02:28+00:00,117,90,-442735441,2087990524,80.65,280.6,2.585,,,23,0.5
32,1,2021-03-31 22:02:29+00:00,119,90,-442735652,2087990698,83.0,280.79999999999995,2.585,,,23,0.5
33,1,2021-03-31 22:02:30+00:00,120,90,-442735848,2087990906,85.4,281.0,2.585,,,23,0.5
34,1,2021-03-31 22:02:31+00:00,121,90,-442736025,2087991148,87.83,281.6,2.585,,,23,0.5
35,1,2021-03-31 22:02:32+00:00,122,90,-442736185,2087991408,90.27,281.6,2.575,,,23,0.5
36,1,2021-03-31 22:02:33+00:00,122,90,-442736367,2087991635,92.66,281.6,2.557,,,23,0.5
37,1,2021-03-31 22:02:34+00:00,123,90,-442736571,2087991825,95.03,281.6,2.538,,,23,0.5
38,1,2021-03-31 22:02:35+00:00,123,90,-442736797,2087991997,97.5,282.0,2.491,,,23,0.0
39,1,2021-03-31 22:02:36+00:00,124,90,-442737012,2087992137,99.75,282.0,2.463,,,23,0.0
40,1,2021-03-31 22:02:37+00:00,124,90,-442737239,2087992336,102.33,282.20000000000005,2.454,,,23,0.0
41,1,2021-03-31 22:02:38+00:00,125,90,-442737482,2087992586,105.26,282.20000000000005,2.454,,,23,0.5
42,1,2021-03-31 22:02:39+00:00,126,90,-442737732,2087992818,108.12,282.4,2.454,,,23,0.5
43,1,2021-03-31 22:02:40+00:00,127,90,-442737931,2087993011,110.44,282.6,2.454,,,23,0.5
44,1,2021-03-31 22:02:41+00:00,127,90,-442738204,2087993197,113.31,282.79999999999995,2.445,,,23,0.5
45,1,2021-03-31 22:02:42+00:00,128,90,-442738461,2087993362,115.99,282.79999999999995,2.454,,,23,0.5
