,lap,timestamp,heart_rate,cadence,position_lat,position_long,distance,enhanced_altitude,enhanced_speed,calories,power,temperature,fractional_cadence
0,1,2021-03-24 21:40:55+00:00,81,57,-442729598,2087984210,1.38,275.20000000000005,1.176,,,21,0.0
1,1,2021-03-24 21:40:56+00:00,81,57,-442729721,2087984144,2.58,275.20000000000005,1.194,,,21,0.0
2,1,2021-03-24 21:40:57+00:00,81,57,-442729838,2087984205,3.76,275.20000000000005,1.269,,,21,0.0
3,1,2021-03-24 21:40:58+00:00,81,111,-442730012,2087984336,5.63,275.20000000000005,1.353,,,21,0.0
4,1,2021-03-24 21:40:59+00:00,81,111,-442730265,2087984427,7.97,275.6,1.922,,,21,0.0
5,1,2021-03-24 21:41:00+00:00,81,111,-442730589,2087984481,11.01,277.20000000000005,2.37,,,21,0.0
6,1,2021-03-24 21:41:01+00:00,82,91,-442730879,2087984621,13.9,277.20000000000005,2.566,,,21,0.0
7,1,2021-03-24 21:41:02+00:00,82,91,-442731226,2087984858,17.59,277.4,2.715,,,21,0.0
8,1,2021-03-24 21:41:03+00:00,82,91,-442731502,2087985047,20.51,277.4,2.781,,,21,0.0
9,1,2021-03-24 21:41:04+00:00,81,92,-442731738,2087985285,23.33,277.4,2.855,,,21,0.5
10,1,2021-03-24 21:41:05+00:00,82,92,-442731970,2087985507,26.04,277.4,2.976,,,21,0.5
11,1,2021-03-24 21:41:06+00:00,82,92,-442732207,2087985740,28.85,277.6,3.07,,,24,0.0
12,1,2021-03-24 21:41:07+00:00,83,92,-442732449,2087985969,31.66,277.6,3.07,,,24,0.0
13,1,2021-03-24 21:41:08+00:00,84,92,-442732658,2087986103,33.85,277.79999999999995,2.93,,,24,0.0
14,1,2021-03-24 21:41:09+00:00,84,92,-442732947,2087986302,36.91,277.79999999999995,2.809,,,24,0.0
15,1,2021-03-24 21:41:10+00:00,88,92,-442733157,2087986494,39.34,277.79999999999995,2.715,,,24,0.0
16,1,2021-03-24 21:41:11+00:00,91,95,-442733369,2087986702,41.84,278.4,2.706,,,24,0.5
17,1,2021-03-24 21:41:12+00:00,94,95,-442733589,2087986969,44.68,278.4,2.697,,,24,0.5
18,1,2021-03-24 21:41:13+00:00,96,95,-442733838,2087987205,47.59,278.6,2.734,,,24,0.5
19,1,2021-03-24 21:41:14+00:00,97,95,-442734077,2087987485,50.64,278.6,2.771,,,24,0.5
20,1,2021-03-24 21:41:15+00:00,97,93,-442734301,2087987742,53.47,279.4,2.827,,,24,0.5
21,1,2021-03-24 21:41:16+00:00,100,93,-442734518,2087988013,56.31,279.4,2.837,,,24,0.0
22,1,2021-03-24 21:41:17+00:00,102,93,-442734721,2087988220,58.75,280.0,2.855,,,24,0.0
23,1,2021-03-24 21:41:18+00:00,103,93,-442734920,2087988457,61.3,280.0,2.855,,,24,0.0
24,1,2021-03-24 21:41:19+00:00,105,93,-442735118,2087988701,63.87,280.20000000000005,2.837,,,24,0.0
25,1,2021-03-24 21:41:20+00:00,107,94,-442735285,2087988924,66.14,280.20000000000005,2.827,,,24,0.0
26,1,2021-03-24 21:41:21+00:00,109,94,-442735498,2087989131,68.64,280.20000000000005,2.818,,,24,0.0
27,1,2021-03-24 21:41:22+00:00,110,95,-442735719,2087989357,71.3,280.4,2.799,,,24,0.0
28,1,2021-03-24 21:41:23+00:00,112,95,-442735932,2087989612,74.05,280.79999999999995,2.79,,,24,0.0
29,1,2021-03-24 21:41:24+00:00,114,95,-442736098,2087989883,76.58,281.79999999999995,2.781,,,24,0.0
30,1,2021-03-24 21:41:25+00:00,115,94,-442736234,2087990189,79.19,281.79999999999995,2.762,,,24,0.0
31,1,2021-03-24 21:41:26+00:00,117,94,-442736358,2087990505,81.81,281.79999999999995,2.734,,,24,0.0
32,1,2021-03-24 21:41:27+00:00,118,93,-442736497,2087990795,84.33,281.79999999999995,2.725,,,24,0.0
33,1,2021-03-24 21:41:28+00:00,120,93,-442736669,2087991044,86.77,281.79999999999995,2.687,,,24,0.0
34,1,2021-03-24 21:41:29+00:00,122,93,-442736839,2087991216,88.78,281.79999999999995,2.669,,,24,0.0
35,1,2021-03-24 21:41:30+00:00,124,94,-442736998,2087991457,91.1,282.4,2.641,,,24,0.0
36,1,2021-03-24 21:41:31+00:00,126,93,-442736998,2087991457,91.1,283.0,2.613,,,24,0.5
37,1,2021-03-24 21:41:33+00:00,128,93,-442737163,2087991698,93.46,283.20000000000005,2.603,,,24,0.5
38,1,2021-03-24 21:41:34+00:00,129,93,-442737459,2087992060,97.27,283.4,2.575,,,24,0.5
39,1,2021-03-24 21:41:35+00:00,130,92,-442737646,2087992262,99.57,283.4,2.557,,,24,0.5
40,1,2021-03-24 21:41:36+00:00,132,92,-442737883,2087992421,102.07,283.4,2.426,,,24,0.5
41,1,2021-03-24 21:41:37+00:00,133,92,-442738115,2087992565,104.48,283.4,2.398,,,24,0.5
42,1,2021-03-24 21:41:38+00:00,133,92,-442738375,2087992720,107.15,283.4,2.249,,,24,0.5
43,1,2021-03-24 21:41:39+00:00,135,92,-442738619,2087992822,109.54,283.4,2.249,,,24,0.5
44,1,2021-03-24 21:41:40+00:00,136,92,-442738860,2087992902,111.84,283.4,2.351,,,24,0.5
45,1,2021-03-24 21:41:41+00:00,137,92,-442739079,2087992936,113.89,283.4,2.351,,,24,0.5
46,1,2021-03-24 21:41:42+00:00,137,92,-442739307,2087992929,116.0,284.0,2.361,,,24,0.5
47,1,2021-03-24 21:41:43+00:00,137,92,-442739521,2087992933,118.0,284.0,2.351,,,24,0.5
48,1,2021-03-24 21:41:44+00:00,137,92,-442739746,2087992958,120.09,284.79999999999995,2.305,,,24,0.5
49,1,2021-03-24 21:41:45+00:00,139,91,-442739942,2087992942,121.92,284.79999999999995,2.277,,,24,0.0
50,1,2021-03-24 21:41:46+00:00,140,91,-442740160,2087992893,123.96,285.79999999999995,2.137,,,24,0.0
51,1,2021-03-24 21:41:47+00:00,140,91,-442740344,2087992847,125.7,286.0,2.071,,,24,0.0
52,1,2021-03-24 21:41:48+00:00,141,91,-442740519,2087992803,127.33,286.4,1.978,,,24,0.0
53,1,2021-03-24 21:41:49+00:00,141,90,-442740720,2087992759,129.22,286.6,1.913,,,24,0.5
54,1,2021-03-24 21:41:50+00:00,142,90,-442740914,2087992640,131.22,287.20000000000005,1.903,,,24,0.5
55,1,2021-03-24 21:41:51+00:00,142,88,-442741105,2087992533,133.15,287.20000000000005,1.885,,,24,0.0
56,1,2021-03-24 21:41:52+00:00,142,88,-442741355,2087992370,135.77,287.4,1.903,,,24,0.0
57,1,2021-03-24 21:41:53+00:00,142,88,-442741581,2087992203,138.2,287.79999999999995,1.894,,,24,0.0
58,1,2021-03-24 21:41:54+00:00,143,88,-442741807,2087991981,140.88,288.0,1.903,,,24,0.0
59,1,2021-03-24 21:41:55+00:00,143,88,-442742010,2087991740,143.48,288.20000000000005,1.913,,,24,0.0
60,1,2021-03-24 21:41:56+00:00,143,88,-442742218,2087991466,146.29,288.79999999999995,1.931,,,24,0.0
61,1,2021-03-24 21:41:57+00:00,143,89,-442742391,2087991240,148.6,288.79999999999995,1.941,,,24,0.0
62,1,2021-03-24 21:41:58+00:00,143,90,-442742565,2087991011,150.96,288.79999999999995,1.959,,,24,0.0
63,1,2021-03-24 21:41:59+00:00,144,90,-442742699,2087990753,153.25,288.79999999999995,1.969,,,24,0.0
64,1,2021-03-24 21:42:00+00:00,145,92,-442742849,2087990479,155.72,289.20000000000005,1.978,,,24,0.0
65,1,2021-03-24 21:42:01+00:00,146,92,-442743003,2087990187,158.32,289.4,2.006,,,24,0.0
66,1,2021-03-24 21:42:02+00:00,146,92,-442743189,2087989933,160.88,289.4,2.034,,,24,0.0
67,1,2021-03-24 21:42:03+00:00,147,91,-442743432,2087989728,163.6,289.4,2.053,,,24,0.0
68,1,2021-03-24 21:42:04+00:00,147,90,-442743676,2087989569,166.15,289.4,2.081,,,24,0.5
69,1,2021-03-24 21:42:05+00:00,147,90,-442743919,2087989503,168.45,289.4,2.099,,,24,0.5
70,1,2021-03-24 21:42:06+00:00,147,90,-442744157,2087989533,170.67,289.4,2.118,,,24,0.5
71,1,2021-03-24 21:42:07+00:00,148,89,-442744345,2087989705,172.84,289.4,2.137,,,23,0.0
72,1,2021-03-24 21:42:08+00:00,148,89,-442744518,2087989966,175.36,289.20000000000005,2.165,,,23,0.0
73,1,2021-03-24 21:42:09+00:00,148,90,-442744486,2087990282,177.34,289.0,2.183,,,23,0.0
74,1,2021-03-24 21:42:10+00:00,148,90,-442744506,2087990607,179.54,288.79999999999995,2.202,,,23,0.0
75,1,2021-03-24 21:42:11+00:00,148,90,-442744650,2087990953,182.45,288.79999999999995,2.221,,,23,0.0
76,1,2021-03-24 21:42:12+00:00,147,90,-442744724,2087991352,185.38,288.4,2.239,,,23,0.0
77,1,2021-03-24 21:42:13+00:00,147,90,-442744811,2087991714,188.12,288.20000000000005,2.267,,,23,0.0
78,1,2021-03-24 21:42:14+00:00,147,90,-442745030,2087991997,190.99,288.20000000000005,2.286,,,23,0.0
79,1,2021-03-24 21:42:15+00:00,147,91,-442745181,2087992312,193.72,288.0,2.305,,,23,0.0
80,1,2021-03-24 21:42:16+00:00,147,91,-442745343,2087992641,196.59,287.79999999999995,2.342,,,23,0.0
81,1,2021-03-24 21:42:17+00:00,147,91,-442745461,2087992964,199.22,287.79999999999995,2.379,,,23,0.0
82,1,2021-03-24 21:42:18+00:00,147,90,-442745644,2087993272,202.08,287.4,2.417,,,23,0.5
83,1,2021-03-24 21:42:19+00:00,147,90,-442745822,2087993570,204.84,287.20000000000005,2.463,,,23,0.5
84,1,2021-03-24 21:42:20+00:00,147,90,-442746016,2087993897,207.87,287.20000000000005,2.473,,,23,0.5
85,1,2021-03-24 21:42:21+00:00,147,90,-442746166,2087994136,210.13,287.0,2.501,,,23,0.5
86,1,2021-03-24 21:42:22+00:00,147,90,-442746369,2087994494,213.4,286.79999999999995,2.519,,,23,0.5
87,1,2021-03-24 21:42:23+00:00,147,90,-442746522,2087994800,216.08,286.6,2.547,,,23,0.5
88,1,2021-03-24 21:42:24+00:00,146,90,-442746668,2087995113,218.78,286.20000000000005,2.557,,,23,0.5
89,1,2021-03-24 21:42:25+00:00,146,90,-442746801,2087995381,221.13,286.20000000000005,2.575,,,23,0.5
90,1,2021-03-24 21:42:26+00:00,146,90,-442747009,2087995744,224.45,285.79999999999995,2.585,,,23,0.5
91,1,2021-03-24 21:42:27+00:00,146,89,-442747210,2087996023,227.24,285.79999999999995,2.613,,,23,0.5
92,1,2021-03-24 21:42:28+00:00,146,89,-442747402,2087996283,229.87,285.6,2.613,,,23,0.5
93,1,2021-03-24 21:42:29+00:00,146,89,-442747623,2087996489,232.43,285.6,2.622,,,23,0.5
94,1,2021-03-24 21:42:30+00:00,145,89,-442747861,2087996735,235.3,285.6,2.631,,,23,0.5
95,1,2021-03-24 21:42:31+00:00,145,89,-442748088,2087996975,238.07,285.4,2.65,,,23,0.5
96,1,2021-03-24 21:42:32+00:00,145,89,-442748324,2087997221,240.92,285.20000000000005,2.659,,,23,0.0
97,1,2021-03-24 21:42:33+00:00,145,89,-442748547,2087997469,243.69,285.20000000000005,2.669,,,23,0.0
98,1,2021-03-24 21:42:34+00:00,144,89,-442748771,2087997685,246.32,285.20000000000005,2.678,,,23,0.0
99,1,2021-03-24 21:42:35+00:00,144,89,-442748978,2087997901,248.83,284.6,2.687,,,23,0.0
100,1,2021-03-24 21:42:36+00:00,144,90,-442749227,2087998112,251.62,284.6,2.687,,,23,0.0
101,1,2021-03-24 21:42:37+00:00,144,91,-442749492,2087998342,254.63,284.20000000000005,2.697,,,23,0.0
102,1,2021-03-24 21:42:38+00:00,143,91,-442749775,2087998557,257.71,284.20000000000005,2.697,,,23,0.0
103,1,2021-03-24 21:42:39+00:00,143,91,-442750024,2087998749,260.43,284.0,2.706,,,23,0.0
104,1,2021-03-24 21:42:40+00:00,143,91,-442750285,2087998912,263.15,284.0,2.706,,,23,0.0
105,1,2021-03-24 21:42:41+00:00,143,91,-442750537,2087999053,265.71,283.79999999999995,2.706,,,23,0.0
106,1,2021-03-24 21:42:42+00:00,142,91,-442750767,2087999219,268.19,283.6,2.715,,,23,0.0
107,1,2021-03-24 21:42:43+00:00,142,90,-442751048,2087999358,270.99,283.6,2.715,,,23,0.0
108,1,2021-03-24 21:42:44+00:00,142,90,-442751312,2087999492,273.64,283.4,2.715,,,23,0.0
109,1,2021-03-24 21:42:45+00:00,142,90,-442751582,2087999673,276.49,283.0,2.725,,,23,0.0
110,1,2021-03-24 21:42:46+00:00,142,90,-442751878,2087999881,279.65,283.0,2.725,,,23,0.0
111,1,2021-03-24 21:42:47+00:00,142,91,-442752139,2088000041,282.35,282.79999999999995,2.725,,,23,0.0
112,1,2021-03-24 21:42:48+00:00,143,91,-442752426,2088000148,285.14,282.6,2.734,,,23,0.0
113,1,2021-03-24 21:42:49+00:00,143,90,-442752690,2088000281,287.78,282.0,2.734,,,23,0.0
114,1,2021-03-24 21:42:50+00:00,143,90,-442752950,2088000427,290.43,281.79999999999995,2.734,,,23,0.0
115,1,2021-03-24 21:42:51+00:00,143,90,-442753238,2088000584,293.34,281.6,2.743,,,23,0.0
116,1,2021-03-24 21:42:52+00:00,143,91,-442753484,2088000719,295.84,281.4,2.743,,,23,0.0
117,1,2021-03-24 21:42:53+00:00,143,91,-442753744,2088000818,298.37,281.4,2.734,,,23,0.0
118,1,2021-03-24 21:42:54+00:00,143,91,-442754063,2088000913,301.42,281.4,2.734,,,23,0.0
119,1,2021-03-24 21:42:55+00:00,143,91,-442754303,2088000969,303.67,281.20000000000005,2.734,,,23,0.0
120,1,2021-03-24 21:42:56+00:00,143,92,-442754547,2088001045,306.01,280.79999999999995,2.734,,,23,0.0
121,1,2021-03-24 21:42:57+00:00,143,92,-442754855,2088001154,308.98,280.79999999999995,2.734,,,23,0.0
122,1,2021-03-24 21:42:58+00:00,142,91,-442755120,2088001250,311.52,280.4,2.734,,,23,0.0
123,1,2021-03-24 21:42:59+00:00,142,90,-442755405,2088001341,314.24,280.4,2.734,,,23,0.0
124,1,2021-03-24 21:43:00+00:00,142,90,-442755672,2088001434,316.79,280.4,2.734,,,23,0.0
125,1,2021-03-24 21:43:01+00:00,141,90,-442755948,2088001549,319.5,280.4,2.725,,,23,0.0
126,1,2021-03-24 21:43:02+00:00,141,90,-442756238,2088001675,322.34,280.20000000000005,2.725,,,23,0.0
127,1,2021-03-24 21:43:03+00:00,141,90,-442756552,2088001844,325.52,279.79999999999995,2.725,,,23,0.0
128,1,2021-03-24 21:43:04+00:00,140,90,-442756855,2088001970,328.49,279.6,2.725,,,23,0.0
129,1,2021-03-24 21:43:05+00:00,140,91,-442757135,2088002071,331.19,279.20000000000005,2.734,,,23,0.0
130,1,2021-03-24 21:43:06+00:00,139,91,-442757426,2088002185,334.03,279.20000000000005,2.734,,,23,0.0
131,1,2021-03-24 21:43:07+00:00,139,91,-442757748,2088002305,337.16,279.0,2.734,,,22,0.0
132,1,2021-03-24 21:43:08+00:00,139,91,-442758083,2088002406,340.36,279.0,2.734,,,22,0.0
133,1,2021-03-24 21:43:09+00:00,138,90,-442758421,2088002507,343.6,278.79999999999995,2.734,,,22,0.0
134,1,2021-03-24 21:43:10+00:00,138,90,-442758722,2088002556,346.41,278.4,2.743,,,22,0.0
135,1,2021-03-24 21:43:11+00:00,137,91,-442759007,2088002610,349.08,278.4,2.743,,,22,0.0
136,1,2021-03-24 21:43:12+00:00,137,91,-442759346,2088002671,352.27,278.4,2.753,,,22,0.0
137,1,2021-03-24 21:43:13+00:00,137,91,-442759671,2088002759,355.33,278.0,2.762,,,22,0.0
138,1,2021-03-24 21:43:14+00:00,137,91,-442760009,2088002776,358.48,277.6,2.771,,,22,0.0
139,1,2021-03-24 21:43:15+00:00,136,90,-442760341,2088002782,361.57,277.6,2.771,,,22,0.5
140,1,2021-03-24 21:43:16+00:00,136,90,-442760644,2088002805,364.39,277.0,2.781,,,22,0.5
141,1,2021-03-24 21:43:17+00:00,136,90,-442760949,2088002898,367.31,276.79999999999995,2.781,,,22,0.5
142,1,2021-03-24 21:43:18+00:00,135,90,-442761251,2088002973,370.17,276.4,2.79,,,22,0.5
143,1,2021-03-24 21:43:19+00:00,135,90,-442761506,2088003042,372.59,276.20000000000005,2.79,,,22,0.5
144,1,2021-03-24 21:43:20+00:00,135,90,-442761798,2088003096,375.33,276.0,2.79,,,22,0.5
145,1,2021-03-24 21:43:21+00:00,134,90,-442762074,2088003141,377.93,275.79999999999995,2.79,,,22,0.5
146,1,2021-03-24 21:43:22+00:00,134,90,-442762392,2088003208,380.92,275.79999999999995,2.799,,,22,0.5
147,1,2021-03-24 21:43:23+00:00,134,90,-442762726,2088003250,384.02,275.6,2.799,,,22,0.5
148,1,2021-03-24 21:43:24+00:00,133,90,-442763045,2088003246,386.99,275.6,2.799,,,22,0.0
